DILIrank_ID,Human Intestinal Absorption,Blood Brain Barrier,Caco-2 permeable,P-glycoprotein substrate,P-glycoprotein inhibitor I,P-glycoprotein inhibitor II,Renal organic cation transporter,CYP450 2C9 substrate,CYP450 2D6 substrate,CYP450 3A4 substrate,CYP450 1A2 substrate,CYP450 2C9 inhibitor,CYP450 2D6 inhibitor,CYP450 2C19 inhibitor,CYP450 3A4 inhibitor,CYP450 inhibitory promiscuity,hERG inhibition (predictor I),hERG inhibition (predictor II),Ames test,Carcinogenicity,Biodegradation,Rat acute toxicity(LD50-mol/kg)
amineptine,0.927,0.9384,-0.5548,-0.5457,-0.9324,-0.8538,-0.6998,-0.7559,-0.7653,-0.5897,-0.5434,-0.8792,-0.7593,-0.8446,-0.7073,0.09165,0.09341,0.6018,0.6805,-0.8651,-0.7096,2.9526
chlormezanone,0.9167,0.9383,-0.5597,-0.6347,-0.6885,-0.9959,-0.7164,-0.6022,-0.7983,0.6616,-0.9045,-0.9071,-0.9231,-0.9025,-0.9375,0.5186,0.09892,-0.7018,-0.6263,-0.7622,-0.6329,2.6246
droxicam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nimesulide,0.9952,0.6341,-0.55,-0.8267,-0.5634,-0.8129,-0.8943,-0.6235,-0.8055,0.5257,0.9107,0.8948,-0.9231,-0.7628,-0.8309,0.8952,0.5345,-0.5574,0.6488,-0.6116,-0.9901,3.0832
troglitazone,0.868,0.8183,-0.6915,0.7514,-0.7854,-0.7015,-0.861,-0.8329,0.8919,0.7408,-0.5726,-0.6843,-0.9266,-0.6359,-0.5517,0.05121,0.09911,-0.6643,-0.584,-0.9211,-0.9881,1.9768
trovafloxacin,0.9969,0.8109,0.8867,0.5958,-0.9513,-0.8319,-0.7813,-0.8731,-0.8237,-0.7022,-0.7515,-0.7908,-0.834,-0.6968,-0.8746,0.07571,0.09514,-0.7112,0.7022,-0.888,-1,2.3897
alaproclate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alclofenac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bendazac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benoxaprofen,1,0.9799,-0.5319,-0.8015,-0.9594,-0.8703,-0.92,-0.7222,-0.7458,-0.5062,0.6452,-0.8178,-0.9669,-0.6701,-0.9678,0.07368,0.09951,-0.9003,-0.9206,-0.8368,-0.9684,3.3303
benzbromarone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benziodarone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bromfenac,0.9133,0.8403,0.5999,-0.7803,-0.663,-0.8983,-0.921,-0.8624,-0.898,-0.7483,-0.7326,-0.6515,-0.9003,-0.8688,-0.8927,0.07996,0.09747,-0.8313,-0.88,-0.7301,-0.9618,2.5564
