DB_ID,PC-1,PC-2,PC-3,PC-4,PC-5,PC-6,PC-7,PC-8,PC-9,PC-10,PC-11,PC-12,PC-13,PC-14,PC-15,PC-16,PC-17,PC-18,PC-19,PC-20,PC-21,PC-22,PC-23,PC-24,PC-25,PC-26,PC-27,PC-28,PC-29,PC-30,PC-31,PC-32,PC-33,PC-34,PC-35,PC-36,PC-37,PC-38,PC-39,PC-40,PC-41,PC-42,PC-43,PC-44,PC-45,PC-46,PC-47,PC-48,PC-49,PC-50
DB00006,27.2423274,-8.750132946,-5.752545092,-17.54941253,-12.7155106,2.173080925,-0.07046446,1.799333079,-3.226826053,-5.95291604,-11.32962457,7.655834842,-0.573912106,-0.978426118,-9.165480113,-2.520663727,3.747477411,1.385217974,-3.005430801,-3.279071905,-0.136331809,-3.636478125,0.861997375,3.709331349,1.395432156,5.171142528,-5.83947065,3.080591154,3.824056742,0.185261679,0.378076245,1.603428841,2.695167412,-0.086472646,-0.389846078,-1.551216786,2.121781781,3.210822108,2.649676409,-0.895815171,0.338045289,-3.324366955,-1.331977168,0.355818443,5.742150369,-3.471750194,4.006414708,5.073498795,-1.253299597,0.106004965
DB00014,5.800578297,0.835050233,-1.442958678,-15.33465356,-17.56991856,0.604755642,0.101791594,2.461544476,-2.073876959,-6.245554291,-12.12093236,7.432776156,0.020297242,1.118110951,-10.50339214,-0.672706166,3.078418997,0.275301175,-1.1800134,-3.837440066,-0.383943379,-3.352934131,2.050795259,2.5877601,1.420639912,5.849009493,-4.833805563,1.61991098,5.732306393,1.991164286,0.888472359,1.296331274,1.059146684,-0.255015846,-0.626229511,-0.340947192,2.05226446,1.71906493,1.231378307,-1.177269041,-0.160404151,-2.278224477,-2.215996885,1.361703065,3.298301391,-3.082117762,1.459788376,4.874542783,-0.38541165,0.367918473
DB00027,27.23837383,-15.83090209,-5.219865489,-14.64431656,-15.51300415,1.154163114,-2.019823508,-2.689668084,-1.535966808,-4.833593882,-10.34552177,4.951327683,-1.540873651,-1.40911156,-9.189018056,-1.978867311,2.530944374,1.888715888,-3.408215734,-3.616133949,-0.07974048,-4.152177157,1.192142398,2.548600239,0.437079015,4.248984974,-5.367048425,2.84416651,3.986775695,0.880809725,-0.153860821,1.488002615,1.549642274,1.360146575,-0.453354215,-0.975575931,1.132071866,3.051622714,1.126147946,1.603189196,-0.529531246,-2.348676499,-0.886841853,0.322477472,3.025574687,-2.320748755,2.453323856,4.508985827,-0.301738646,-0.375875945
DB00035,2.32983919,3.037345024,-2.723350595,-17.14592177,-17.22512273,4.841463071,-0.283475994,5.668081856,-1.021260476,-4.332017893,-11.70315104,9.792033069,-3.849732759,-0.523080945,-8.079814815,-0.57697952,2.831887461,0.052163229,-2.891914595,-3.896148146,0.203939657,-1.666133104,0.578328869,0.384281974,1.027836338,5.599016937,-3.44892848,1.899557602,5.394532895,1.694316742,1.76603777,-0.015255888,-0.906585521,-0.223847382,0.03942207,0.283272439,2.074702282,0.952566975,-0.096349232,-1.314253213,0.220568569,-1.394444087,-1.416314443,0.568138012,2.183583392,1.837170207,-1.90100546,-0.81307831,-2.089729255,-0.124519998
DB00080,18.89099273,-3.723038255,-0.077766885,-15.8860376,-19.08027,0.988939999,-5.296259579,3.10676033,1.767719386,-4.364232277,-9.544374606,7.91514312,-6.038751428,-2.64060206,-9.14154029,-1.683910931,4.10759457,0.604072633,-4.315394154,-1.381719601,-0.230669746,-2.217235601,-0.407268191,2.457740165,0.45109984,5.32739231,-4.911666952,2.678684954,4.441313705,3.189738022,1.535291144,0.384733654,0.817203366,1.123908313,0.167616387,-0.841005939,0.843863716,1.092868674,-1.276321075,-0.272146546,-2.251751747,-1.454033537,-0.390307473,0.854543181,2.864752116,1.981248409,0.484383739,-1.225549122,-2.212563906,-0.394292019
DB00091,35.74026967,-3.293657705,-4.189438793,-6.222835894,-14.59355152,-2.753090614,-3.198400056,-2.175129154,5.198532096,-5.581000332,-7.011457475,1.682579466,-4.827493113,0.738345889,-3.706596717,-1.393103319,5.024769949,-0.279169665,-3.088023379,0.68268963,-1.410781126,0.478746736,-2.686834804,1.588469285,-0.341854756,3.16157286,-1.538619919,-0.163060778,0.77436626,1.836818107,1.14848296,0.799457979,0.311204181,2.487706904,-2.576705287,1.196296232,-0.120348408,0.757056384,0.125090575,3.088100871,-0.606856934,0.049453916,0.249753502,-0.051300702,-2.239755258,1.032960254,-1.872411035,-1.545544814,-2.537038131,-0.928230959
DB00104,-1.369171165,-0.393654594,2.119886439,-18.74334361,-18.99719975,2.586638092,-6.173443242,4.447909139,2.754441138,-3.003408815,-11.5321053,6.418716391,-3.509050052,1.621988235,-9.151861627,-0.143866728,1.073119895,0.114497985,-3.630499404,-2.86265745,1.789052116,-3.975924271,0.481843562,-0.728640756,1.301001158,4.608024366,-3.388067323,2.197080562,2.239757923,3.528527053,1.905234098,-1.202986995,-0.727442161,1.327233948,2.574417745,-0.681388246,-0.106408236,1.429572444,-0.383447,0.189757567,-2.112182929,-0.332695827,-1.668805272,1.091975279,0.307866856,1.799157646,-3.087452926,-2.951020619,-1.930163856,1.673534461
DB00115,25.9994205,5.86125528,-2.535278975,-6.046638255,-14.48013991,-0.776149267,-5.329230221,-0.517171829,1.621232669,-1.58774402,-0.885099436,3.105088429,-3.864191152,-2.900942995,-3.587284011,-1.630597136,3.009189085,1.39004671,-1.115875757,-2.29617459,0.107992933,-0.056848897,-1.359688497,3.20457185,-1.40223956,0.005531669,-2.011118021,0.295647004,3.111016103,-1.173237474,1.020101296,0.389342169,-1.413635796,-0.005733741,-1.854355842,-1.039487995,-0.253242614,0.177736186,-1.483261363,1.525038389,-0.907248859,1.683447852,0.143581326,-0.182187839,-0.665014304,1.140764859,0.436641488,-0.824782843,-0.223944284,-1.003587463
DB00120,-20.32115948,-13.10708147,14.63076415,-7.232420233,19.60642522,13.21997311,-4.778209426,4.293636777,-2.691155122,-6.931310424,3.691185362,-0.002900063,-4.379014062,-0.557223828,-8.357796964,-1.025760235,-0.505640658,-2.070963092,2.192438529,-1.496522889,2.935417107,1.19380019,-7.088033026,-2.783289209,1.432739479,1.225694881,0.623988071,-2.647918469,1.559521266,-2.919911119,0.750922563,-1.035478591,-2.512052456,-0.273149324,-1.83893406,-0.870810198,-0.033506686,2.004303869,2.172137379,0.61829539,-0.15055048,2.234704302,-1.09583596,0.031054318,-0.638849856,-0.43944028,0.379392012,-0.587600827,0.138918814,2.90683405
DB00122,43.57300815,-14.05128626,8.369221179,-2.134381967,7.024996671,-10.46714813,3.992123493,-3.34545423,5.306887051,0.177898468,-0.337200364,-10.2281261,4.996494575,0.902008993,1.367890969,-4.645841383,1.712987288,1.770155066,2.403758817,0.278851735,0.308551999,-4.738134978,-0.988851674,-4.759188385,4.789526245,-1.943838225,-5.07684361,3.227844535,9.175750831,-2.298336918,5.446439177,-2.900458378,3.045425732,-2.014391204,-4.986930667,9.733559284,-3.766726946,3.551562858,-2.108314684,-2.122665482,-5.170285108,-4.02370658,2.820367202,2.588446347,-3.265155531,8.616083246,1.958226716,1.677188869,3.556372907,0.556727885
