DB_ID,Human Intestinal Absorption,Blood Brain Barrier,Caco-2 permeable,P-glycoprotein substrate,P-glycoprotein inhibitor I,P-glycoprotein inhibitor II,Renal organic cation transporter,CYP450 2C9 substrate,CYP450 2D6 substrate,CYP450 3A4 substrate,CYP450 1A2 substrate,CYP450 2C9 inhibitor,CYP450 2D6 inhibitor,CYP450 2C19 inhibitor,CYP450 3A4 inhibitor,CYP450 inhibitory promiscuity,hERG inhibition (predictor I),hERG inhibition (predictor II),Ames test,Carcinogenicity,Biodegradation,Rat acute toxicity(LD50-mol/kg)
DB00916,0.76732615,0.897909984,-0.948524376,-1.269483085,-1.074385376,-0.872819856,-0.732085738,-0.470758708,-0.842292473,-1.322695463,-1.00180922,-0.866963989,-0.87215829,-0.958551085,-0.943598224,-0.334335824,-0.294381775,-0.952305747,2.724667373,-0.428562688,0.159799617,0.230208561
DB04865,0.47625406,-1.168580379,-0.903844598,1.225018715,1.155574031,-0.835925994,-0.667408042,-0.874599341,-0.539958453,1.308114516,-1.00180922,-0.834891423,-0.871998874,-0.89282372,2.115250063,-0.298984874,0.024612846,-0.912757518,-0.18649901,-0.792915931,-0.756465288,1.145579346
DB01348,-1.774838194,-1.805798281,-1.447137108,1.078655399,-0.756383101,-0.657767473,-0.927208902,-0.736312133,-0.797362517,-1.119804763,-0.908372738,-0.495034757,-0.805522447,-0.35473569,1.601885628,-0.414838726,0.07433498,-0.508541659,-0.900799835,-0.790665447,-0.569261503,0.391975968
DB00721,0.757556369,0.931650937,1.031656203,0.665218565,-1.159249078,-1.055509202,-0.564577771,-0.819231976,-0.469819704,-1.265798251,-0.579803193,-0.88009311,2.023312572,-0.939796877,-0.77751496,-0.355471576,-0.017305366,-0.616475368,-0.373543986,-0.201488926,-0.6459806,0.618483116
DB06810,-1.982867147,-1.46095431,-1.264000983,1.054232228,-0.804966782,-0.747251272,-1.043120054,-0.72581595,-0.834918473,1.036617853,-0.636080942,-0.95136548,-0.871680043,-0.985543123,-0.87193703,-0.284545227,0.068909396,-0.912263165,-0.975658399,-0.891487098,-0.721780905,1.064367846
DB00275,0.800172827,-1.677840008,-1.203352007,0.907166087,-0.595331353,1.519455864,-0.788042847,-0.499885615,-0.805765448,-1.026683603,-0.812931842,1.957297427,-0.685322864,1.846692864,2.017271606,2.489138896,0.021788569,-0.648278735,-0.381252998,-0.293533692,-0.77254414,0.736407786
DB09125,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB09130,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB00262,0.800172827,0.931650937,-0.992014958,-1.693110883,-0.91916998,-0.876541606,-0.807482491,-0.559451453,-0.786730237,-1.314096849,-1.00180922,-0.834703864,-0.87215829,-0.892648447,-0.906078343,-0.310095173,4.743235972,-1.103577724,2.820015679,2.801105858,0.239045391,1.832558154
DB00237,0.686304347,0.967250501,-1.058609913,0.67716659,-0.635239377,-1.011171841,-1.041484944,-0.575982941,-0.876418662,-1.383251659,-0.960179104,-0.673403239,-0.887940464,-0.682846697,-0.936663269,-0.297862622,0.069801273,-1.110663448,-0.432984526,-0.667564012,-0.717186947,1.572615797
DB00263,0.784675933,0.910062446,-1.064216121,-1.928381568,-1.137954283,-1.025411578,-1.015504858,-0.66441328,-0.893910477,-1.467225357,-1.090620134,-0.834891423,-0.892404109,-0.939446331,-0.969204209,-0.351019975,0.06950398,-1.145103364,-0.975658399,-0.540636756,-0.77254414,-0.24804604
DB03793,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB01118,0.800172827,0.800404351,1.084150695,1.047203978,1.688732607,1.90117789,1.60448689,-0.638960037,2.198711032,1.230361092,1.796813874,2.544731798,2.023153156,-0.892648447,-0.777692779,2.571063318,3.742847437,1.669412278,-0.271298142,-0.479198562,-0.77254414,0.731490843
DB09330,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB00184,0.800172827,0.962389516,1.469280188,0.512354117,-1.081325902,-0.972012566,1.925876905,-0.649193815,2.198711032,-0.999424167,-0.585816431,-0.715228866,-0.809507844,-0.808166873,-0.77751496,-0.367778944,-0.008163629,-0.903859166,-0.975658399,-0.913541834,-0.652641839,1.40830797
DB00524,0.795456381,0.418531114,-1.55875161,-1.697679246,-0.941726689,-0.414235617,-0.997518645,-0.247190015,-0.7503747,-1.143954062,-1.00180922,-0.834703864,-0.871998874,-0.892648447,-0.777870599,-0.435151494,0.07143638,-1.028600872,-0.793279404,-0.365999253,-0.763585922,0.109989319
DB01328,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB05521,0.72386747,-1.812231937,-1.39311365,1.139098353,1.813662073,1.980629146,-0.942288252,-0.714007744,-0.464503564,1.311590551,-0.680486399,1.985993934,-0.585209683,1.717341409,2.287023545,2.519065625,0.069355334,1.552909786,-0.651677025,-0.687593313,-0.761978037,0.76763037
DB00491,0.029033921,-1.629230162,-1.289993402,0.750260395,-0.81742818,-0.790779557,-0.548044989,-0.797452397,-0.731339489,-1.220426841,-1.036500984,-0.825701039,-0.920620722,-1.006751153,-1.066115749,-0.278784332,-0.235146287,-1.032061342,-0.725521245,-0.930645507,0.285903761,-0.01481907
DB00763,0.658005671,0.959959024,1.008721716,-1.809252722,-0.853234984,-0.983663259,-0.713917846,-0.628463854,-0.871445499,-1.520646534,-1.00180922,-0.834891423,-0.872317706,-0.892648447,-0.777692779,2.006196296,0.03271406,-0.976034684,-0.863877724,-0.850978399,-0.73005003,0.049347029
DB00845,0.780127932,0.657577184,1.112861275,-1.40372267,1.350697451,1.901016075,-0.542594622,-0.622690954,-0.893910477,1.018871778,-1.00180922,-0.834891423,2.023312572,-0.892648447,-0.777692779,2.824318268,0.062740581,1.370823148,2.193759887,-0.377476718,-0.77254414,0.017059107
DB13595,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB00639,0.67518701,0.957814472,0.988165621,-1.490345857,-0.646123383,1.647775307,1.978382113,-0.574670918,-0.805593959,-1.35452863,1.832893308,2.544919357,2.023312572,2.265595272,2.187266895,3.050265077,-0.077358408,1.772402458,-0.620232371,-0.822847358,-0.77254414,0.270937235
DB00847,0.69540035,0.657863124,1.230421755,-1.596121026,-1.181648048,-1.015540851,-0.68630265,-0.921307354,-0.310335508,-1.599863552,-1.001963406,-0.834891423,-0.87215829,-0.892648447,-0.970982402,-0.348999921,-0.044804903,-1.020526442,-0.844808063,0.083197208,-0.213000067,0.373045739
DB00936,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB08798,0.783328377,0.806552067,-1.019536343,-1.942789481,-1.127858973,-1.007935537,-1.018230042,-0.288387532,-0.869044661,-1.517902295,-1.001500849,-0.715228866,-0.878216094,-0.906495012,-0.967781654,-0.365384806,0.032342445,-1.131755837,-0.882541648,-0.554139655,-0.764275016,-0.328028304
DB00753,0.800172827,0.989839783,1.003455278,-1.933301343,-1.168871171,-0.960523688,-1.010236169,-0.756517284,-0.893910477,-1.398070547,-0.486212524,-0.65502247,-0.900374903,-0.326341468,-1.007968825,-0.326143381,0.045720598,-1.077541806,-0.97545553,2.957289398,-0.690312294,-0.31213019
DB09543,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB01069,0.771874151,0.977687321,1.469280188,1.067058786,1.664283028,-0.5035576,1.614842589,-0.580443818,2.198711032,0.89190501,1.796968059,-0.885532317,2.023153156,-0.892648447,-0.77751496,-0.439565687,0.061328443,1.673202316,-0.975658399,-0.792465834,-0.77254414,0.76590944
DB09223,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB01366,0.794108825,0.421676457,-1.145081422,0.866929353,-1.072650244,-0.945474875,-1.01350639,-0.677271104,-0.510290963,1.002406347,-0.436718942,2.544919357,-0.833101397,2.227035218,-0.777692779,-0.397930124,0.071362057,-0.716499431,-0.859008875,-0.787514771,-0.747047674,0.586686888
DB09104,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB00675,0.795119492,0.40337628,1.469110303,0.989923737,1.688890347,-0.463427434,1.898080029,-0.668349349,2.198711032,1.270426974,1.708773888,-0.835078982,1.94615528,-0.89282372,-0.864290798,1.238949764,4.83539658,1.547471904,-0.97545553,-0.110569402,-0.553871744,0.185956079
DB00255,0.795624825,-1.226054375,1.366839481,0.641849632,-0.693918368,-0.82799705,-0.859806021,-0.688816905,-0.893910477,-1.018999735,1.796813874,2.566488627,-0.519211503,2.301350959,2.186555618,2.897638756,-0.153613879,-0.645147834,-1.066137856,-0.271253908,-0.568342711,0.151537482
DB00808,0.800172827,0.836575796,-0.97638553,-1.571346443,-1.106564177,-0.941429496,-0.879790703,0.067957873,-0.689496324,-1.034184522,1.290159944,-0.216697398,-0.699989126,-0.462703842,-0.777692779,2.143111084,0.06682835,-1.039970988,-0.516363577,-0.474247499,-0.740845831,0.263070127
DB11586,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB00710,-2.512119756,-1.178874229,-1.058440028,0.844087539,-0.954661305,-1.048065704,-0.973718706,-0.748382743,-0.679035532,-1.091630581,-0.890024649,-0.663837737,-0.833260812,-0.720880932,-0.882961829,-0.279644725,-0.215524997,-0.680411672,-0.446982469,-0.284306711,-0.392623821,0.546204062
DB01415,-1.853670218,-1.81509134,-1.55875161,0.586853572,-1.124861927,-1.007288277,-1.009691133,-0.789055451,-0.752775537,-1.183654045,-0.962029332,-0.787251471,-0.865781655,-0.858996036,-1.011703031,-0.300518619,0.065936473,-1.122527917,-0.598525416,-0.763884696,-0.700878397,-0.095620824
DB00153,0.800172827,0.916639072,1.376862701,0.798403911,1.539038084,-0.813919128,-0.768058165,-0.763077399,-0.874532289,1.262194258,-1.001963406,-0.80732027,-0.918070067,-0.85040766,-0.74799695,-0.346306515,-0.03410238,-0.827234472,-1.03002722,-0.810694748,-0.713282083,1.583105274
DB00842,0.770863484,0.947091712,1.469280188,0.542224181,-1.060504324,-0.939487713,-0.922848607,-0.568898017,-0.819998984,0.945509135,1.666681215,-0.083155485,-0.746857399,1.576947757,-0.467220212,-0.411995687,0.076490349,-1.028436088,-0.975658399,-0.482574287,-0.77254414,0.050494315
DB09009,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB00122,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB01576,0.795456381,0.936225981,1.389094427,-1.6627137,-1.163508037,-1.051463823,-0.77568868,-0.679632746,2.19888252,-1.539124406,-0.485595782,-0.880280669,1.646772233,-0.790990122,-0.848820515,-0.325021129,0.036504537,-1.110333879,-1.009537478,-0.293083595,0.014171151,1.219251533
DB00303,0.123362839,-1.833963398,-1.235120519,0.989572324,-1.108457048,-1.066998081,-1.002969012,-0.621116527,-0.741800281,-0.999424167,-0.945068914,-0.759680318,-0.829594247,-0.802558138,-1.017571069,-0.288996828,0.073294457,-1.047221497,-0.495468097,-0.559315767,-0.731428217,0.261431146
DB00610,0.787034156,-1.707434827,1.001246772,-1.633019341,-1.224710856,-1.067968972,-0.984619441,-0.629251068,-0.412885561,-1.449296333,-0.993329011,-0.922481414,-0.950750326,-0.932961231,-0.769690909,-0.30732695,0.012275216,-1.153342579,-0.76650073,-0.630881135,0.041505201,0.839991373
DB06154,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
