DB_ID, logP, logS, PhysiologicalCharge, HydrogenAcceptor, HydrogenDonor, PolarSurfaceArea(A2), RotatableBondCount, Polarizability(A3), NumberofRings, Refractivity(m3.mol-1),Bioavailability, Rule of Five, Ghose Filter, Veber's Rule, MDDR-like Rule, Water Solubility(mg/mL), pKa(StrongestAcidic), pKa(StrongestBasic)
DB00916,-1.060752641,1.145427458,-0.144079773,-0.176946616,-0.299093283,-0.082737549,-0.325980127,-0.709653402,-0.888411938,-0.722785327,0.405039729,0.570597402,-1.136760837,-0.518214236,-0.577800445,-0.084293565,1.213499374,-0.086259139
DB04865,-0.017035607,-0.16851024,0.726508256,0.436492234,-0.075362087,0.210090216,0.500754788,0.503880915,0.994096629,0.437940021,-2.468893615,-1.752549164,-1.136760837,-0.518214236,1.730701333,-0.166855383,0.614471949,1.029834355
DB01348,-0.156819138,-0.467132444,-1.014667802,-0.023586903,-0.075362087,0.005358939,0.397412924,0.246077452,0.052842346,0.206255328,0.405039729,0.570597402,0.879692515,-0.518214236,1.730701333,-0.167973348,-0.900083959,0.285772026
DB00721,-0.012376156,1.145427458,0.726508256,-0.330306328,-0.299093283,-0.289366513,0.087387331,-0.390592585,-0.888411938,-0.388091295,0.405039729,0.570597402,0.879692515,-0.518214236,-0.577800445,-0.071650754,0.054783638,0.948728035
DB06810,-1.098028249,0.309285287,-0.144079773,2.890247634,1.93821868,1.91954163,0.914122246,2.152603733,2.405978054,1.760833145,-2.468893615,-1.752549164,-1.136760837,-0.518214236,1.730701333,-0.149922539,-0.029259015,-1.265827145
DB00275,0.397655536,-0.706030207,-1.885255831,0.283132522,0.148369109,0.252569218,0.190729195,0.208916593,0.523469487,0.38327026,0.405039729,0.570597402,-1.136760837,-0.518214236,1.730701333,-0.16824041,-1.384670323,0.351009718
DB09125,-1.317022448,1.509746547,-2.75584386,0.283132522,-0.299093283,0.331469222,-0.119296398,-0.755814157,-1.359039079,-0.41295165,0.405039729,0.570597402,-1.136760837,-0.518214236,-0.577800445,0.391303415,-1.002008028,-1.371617997
DB09130,-0.990860875,2.041294071,-0.144079773,-0.790385465,-0.52282448,-0.694887714,-0.63600572,-1.117261579,-1.359039079,-1.197203759,0.405039729,0.570597402,-1.136760837,1.929703839,-0.577800445,-0.168389567,-1.547391206,-0.63108203
DB00262,-0.413088946,0.727356373,-0.144079773,-0.483666041,-0.299093283,-0.244040979,-0.119296398,-0.623138276,-1.359039079,-0.656491048,0.405039729,0.570597402,0.879692515,-0.518214236,-0.577800445,-0.146655296,0.591226108,-1.565567893
DB00237,-0.198754198,0.727356373,-0.144079773,-0.330306328,-0.075362087,-0.145507209,-0.325980127,-0.547364961,-0.888411938,-0.58260055,0.405039729,0.570597402,0.879692515,-0.518214236,-0.577800445,-0.148644053,-0.031047157,0.864095353
