DB_ID,Human Intestinal Absorption,Blood Brain Barrier,Caco-2 permeable,P-glycoprotein substrate,P-glycoprotein inhibitor I,P-glycoprotein inhibitor II,Renal organic cation transporter,CYP450 2C9 substrate,CYP450 2D6 substrate,CYP450 3A4 substrate,CYP450 1A2 substrate,CYP450 2C9 inhibitor,CYP450 2D6 inhibitor,CYP450 2C19 inhibitor,CYP450 3A4 inhibitor,CYP450 inhibitory promiscuity,hERG inhibition (predictor I),hERG inhibition (predictor II),Ames test,Carcinogenicity,Biodegradation,Rat acute toxicity(LD50-mol/kg)
DB00916,0.9805,0.9297,-0.5365,-0.5141,-0.8954,-0.8755,-0.7762,-0.7318,-0.8815,-0.6767,-0.9045,-0.9242,-0.9231,-0.9401,-0.9242,0.08483,0.05,-0.8272,0.9107,-0.7471,-0.5941,2.0422
DB04865,0.8077,-0.5157,-0.5102,0.9056,0.5183,-0.8527,-0.7406,-0.8857,-0.7052,0.7613,-0.9045,-0.9071,-0.923,-0.9026,0.796,0.09428,0.09292,-0.8032,-0.5243,-0.909,-0.993,3.1592
DB01348,-0.5287,-0.9614,-0.83,0.8223,-0.6938,-0.7426,-0.8836,-0.833,-0.8553,-0.5658,-0.8439,-0.7259,-0.8813,-0.5956,0.5073,0.06331,0.09961,-0.5579,-0.8764,-0.908,-0.9115,2.2396
DB00721,0.9747,0.9533,0.6291,0.587,-0.9492,-0.9884,-0.684,-0.8646,-0.6643,-0.6456,-0.6308,-0.9312,0.8932,-0.9294,-0.8308,0.07918,0.08728,-0.6234,-0.6165,-0.6462,-0.9449,2.516
DB06810,-0.6522,-0.7202,-0.7222,0.8084,-0.7246,-0.7979,-0.9474,-0.829,-0.8772,0.6129,-0.6673,-0.9692,-0.9228,-0.9555,-0.8839,0.09814,0.09888,-0.8029,-0.9133,-0.9528,-0.9779,3.0601
DB00275,1,-0.8719,-0.6865,0.7247,-0.5917,0.6029,-0.807,-0.7429,-0.8602,-0.5149,-0.782,0.5816,-0.8059,0.6604,0.7409,0.8396,0.09254,-0.6427,-0.6203,-0.6871,-1,2.6599
DB09125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB09130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB00262,1,0.9533,-0.5621,-0.7552,-0.797,-0.8778,-0.8177,-0.7656,-0.8491,-0.672,-0.9045,-0.907,-0.9231,-0.9025,-0.9031,0.09131,0.7278,-0.919,0.9577,0.688,-0.5596,3.9975
DB00237,0.9324,0.9782,-0.6013,0.5938,-0.617,-0.961,-0.9465,-0.7719,-0.9014,-0.7098,-0.8775,-0.821,-0.933,-0.7828,-0.9203,0.09458,0.099,-0.9233,-0.6458,-0.8533,-0.9759,3.6803
