DB_ID, logP, logS, PhysiologicalCharge, HydrogenAcceptor, HydrogenDonor, PolarSurfaceArea(A2), RotatableBondCount, Polarizability(A3), NumberofRings, Refractivity(m3.mol-1),Bioavailability, Rule of Five, Ghose Filter, Veber's Rule, MDDR-like Rule, Water Solubility(mg/mL), pKa(StrongestAcidic), pKa(StrongestBasic)
DB00916,-0.15,-1.5,0,4,1,83.87,3,15.82,1,41.22,1,1,0,0,0,5.92,15.44,3.09
DB04865,2.09,-3.7,1,8,2,123.99,11,57.62,5,142.07,0,0,0,0,1,0.108,12.09,9.42
DB01348,1.79,-4.2,-1,5,2,95.94,10,48.74,3,121.94,1,1,1,0,1,0.0293,3.62,5.2
DB00721,2.1,-1.5,1,3,1,55.56,7,26.81,1,70.3,1,1,1,0,0,6.81,8.96,8.96
DB06810,-0.23,-2.9,0,24,11,358.2,15,114.41,8,257.01,0,0,0,0,1,1.3,8.49,-3.6
DB00275,2.98,-4.6,-2,7,3,129.81,8,47.46,4,137.32,1,1,0,0,1,0.0105,0.91,5.57
DB09125,-0.7,-0.89,-3,7,1,140.62,5,14.23,0,68.14,1,1,0,0,0,39.4,3.05,-4.2
DB09130,0,0,0,0,0,0,0,1.78,0,0,1,1,0,1,0,0,0,0
DB00262,1.24,-2.2,0,2,1,61.77,5,18.8,0,46.98,1,1,1,0,0,1.53,11.96,-5.3
DB00237,1.7,-2.2,0,3,2,75.27,3,21.41,1,53.4,1,1,1,0,0,1.39,8.48,8.48
DB00263,1.14,-2.9,-1,4,2,98.22,2,26.93,2,67.92,1,1,1,0,0,0.313,5.8,2.17
DB03793,1.72,-1.2,-1,2,1,37.3,1,11.97,1,33.31,1,1,0,1,0,7.08,4.08,4.08
DB01118,7.24,-5.1,1,3,0,42.68,11,56.78,3,145.05,0,0,0,0,1,0.00476,8.47,8.47
DB09330,4.47,-4.4,1,7,2,87.55,10,56.84,4,150.32,1,1,0,0,1,0.0224,13.64,8.87
DB00184,0.87,-0.24,1,2,0,16.13,1,18.59,2,49.66,1,1,1,1,0,93.3,8.86,8.86
DB00524,3.21,-4,0,4,2,92.5,2,36.38,3,94.59,1,1,1,0,0,0.0407,9.54,-1.6
DB01328,-0.71,-2.8,-2,11,4,204.91,9,47.96,4,136.58,0,0,0,0,1,0.895,-1.4,-2.1
DB05521,2.56,-4.3,0,8,4,179.56,14,74.37,5,180.04,0,0,0,0,1,0.0355,11.86,-0.69
DB00491,-2.3,0.47,1,6,5,104.39,3,20.81,1,48.16,1,1,0,0,0,610,12.9,7.6
DB00763,-0.38,-1,0,0,1,15.27,0,11.64,1,33.23,1,1,0,1,0,11.3,10.41,-3
DB00845,7.39,-5.5,1,4,1,39.99,4,51.52,5,142.55,1,0,0,1,0,0.00151,16.15,9.29
DB13595,0,0,0,4,0,92.24,0,5.14,0,5.77,1,1,0,0,0,0,9.82,-4.8
DB00639,6.7,-5.7,0,1,0,17.82,7,41.01,3,108.99,1,0,0,1,1,0.000818,6.78,6.78
DB00847,0.01,-0.52,1,1,2,26.02,1,8.65,0,22.39,1,1,0,1,0,23.5,9.42,10.4
DB00936,1.96,-1.1,-1,3,2,57.53,1,12.81,1,35.3,1,1,0,0,0,11.3,2.79,-6.3
DB08798,1.04,-3,-1,4,2,98.22,2,27.44,2,67.51,1,1,1,0,0,0.267,6.81,1.94
DB00753,2.3,-1.7,0,1,0,9.23,3,9.73,0,23.04,1,1,0,1,0,3.56,-4.7,-4.7
DB09543,2.07,-1.4,0,2,1,46.53,2,14.98,1,40.06,1,1,0,0,0,5.73,9.72,-4.3
DB01069,4.52,-4.1,1,2,0,6.48,3,32.38,3,88.5,1,1,1,1,0,0.0245,9.05,9.05
DB09223,5.76,-4,1,3,0,19.37,3,42.8,4,111.05,1,0,0,1,0,0.0359,7.97,7.97
DB01366,1.28,-3,1,4,4,81.59,5,31.69,2,84.58,1,1,1,0,0,0.329,8.52,9.88
DB09104,0,0,2,0,0,0,0,1.78,0,0,1,1,0,1,0,0,3.09,3.09
DB00675,5.93,-5.6,1,2,0,12.47,8,44.19,3,128.43,1,0,0,1,1,0.00102,8.76,8.76
DB00255,4.62,-4.4,0,2,2,40.46,4,30.69,2,83.24,1,0,1,0,0,0.0109,8.63,-6.5
DB00808,2.52,-4,0,4,2,92.5,3,36.34,3,103.31,1,1,1,0,0,0.0342,8.85,0.097
DB11586,3.12,-5.4,-1,9,3,182.33,13,76.14,5,186.82,0,0,0,0,1,0.00299,3.77,1.85
DB00710,0.26,-1.4,-1,8,5,138.53,9,29.51,0,71.16,1,1,0,0,0,13.4,0.66,9.93
DB01415,0.31,-3.8,-2,8,4,162.92,6,38.5,3,97.02,1,1,0,0,1,0.0705,2.99,4.69
