DILIrank_ID,PC-1,PC-2,PC-3,PC-4,PC-5,PC-6,PC-7,PC-8,PC-9,PC-10,PC-11,PC-12,PC-13,PC-14,PC-15,PC-16,PC-17,PC-18,PC-19,PC-20,PC-21,PC-22,PC-23,PC-24,PC-25,PC-26,PC-27,PC-28,PC-29,PC-30,PC-31,PC-32,PC-33,PC-34,PC-35,PC-36,PC-37,PC-38,PC-39,PC-40,PC-41,PC-42,PC-43,PC-44,PC-45,PC-46,PC-47,PC-48,PC-49,PC-50
amineptine,-14.90667409,-1.218637742,-2.079157307,-7.169621499,1.02656853,0.455521498,-0.788074963,5.579331211,-0.302079966,0.000365159,3.331844861,-0.773690514,-3.993995557,-3.605641204,1.562774956,-2.709058147,0.802594455,-2.269569385,-1.186990557,-1.475756999,-0.159067059,-0.685234848,-0.167199028,2.508100708,-1.243224853,0.886717231,3.839030127,2.046721367,0.460584658,-0.672828932,-1.514732297,0.492657058,1.454980425,-0.971689859,-0.103555572,0.827053478,0.299624052,-0.780742528,-1.61792957,-0.196271446,-0.905399818,0.158735786,-0.312263056,1.216843294,-0.786419426,0.251099926,0.121512822,-0.229706429,-0.366861302,0.258914642
chlormezanone,-7.199575368,3.041353126,-1.46068911,7.576489948,1.741428597,3.134473119,-1.296191379,-0.008540703,0.912754274,-2.04421143,1.604119473,3.757271991,-3.31929491,4.473700326,3.282762627,3.739078628,0.105127161,1.548657173,-5.068430739,0.526193201,1.827098856,0.737544735,-0.060674655,1.473792739,0.72451002,1.349976635,0.121971009,-0.269752363,-1.121148072,0.396405496,-1.100424946,-1.027377533,0.381069894,-0.188274727,0.357735992,2.148110713,0.912461824,1.561549908,1.199815778,1.435712299,-0.065018792,-0.148123433,-0.296331514,-0.13612384,0.657053793,0.537197385,-0.727696847,-0.856807864,0.547287738,0.701785033
droxicam,-13.38468817,-2.415335838,-7.057022203,4.09893499,-5.195498323,4.583089761,2.204553508,-2.129749423,-3.186863352,2.59983256,2.754574742,-2.355605277,-1.31387955,-0.948470388,-0.11995332,2.890206639,-1.289742328,-0.257952703,1.216054502,0.236903861,0.76477385,-0.345263488,-1.66742581,-0.390118183,-0.176437623,1.659001146,0.562899443,0.345628982,-0.943386566,-0.180519496,-0.684568,0.191636446,-0.38992402,-1.037481812,1.399505039,-0.40836991,0.768903577,0.206638237,-0.030794023,0.323857419,0.531598114,1.125703864,-1.09374384,1.804332137,0.486762199,0.471010537,-1.404016859,-2.242532739,0.649551458,-0.441211354
ebrotidine,-1.557025495,-6.479938451,2.995765895,3.550726919,-3.103626442,2.701184257,-2.262174072,1.883307163,-0.254035989,0.464888946,2.741989715,9.316131934,0.181855456,0.94287369,-0.97118454,0.421322282,0.864168242,-2.930778763,2.840010854,1.946327822,-3.390353477,-1.824443722,-1.658718352,-0.392908794,1.926723446,-0.418892165,1.221674406,-0.114270902,0.692573289,1.680609857,1.647409779,-0.163001525,2.810211611,0.728454391,-1.528427332,-2.466052677,-0.955515273,-2.038829864,0.955187612,1.023366223,-4.168895422,0.338394185,0.210927459,-0.812498077,-1.058342448,1.369137449,-2.241797038,2.724900358,0.539917978,-1.381483152
nimesulide,-16.52461008,-6.754705206,-3.779176462,0.751666385,-0.230490247,3.527176641,1.629636894,-3.411679808,-3.667115491,-1.404532433,1.413529908,3.623779299,-2.201496148,-1.005280769,-3.087656817,3.055788024,2.284285646,3.391876144,0.563041287,-0.233244713,-1.072164263,-1.844276292,-0.92782922,0.243329211,0.108776099,1.733022138,0.866440509,0.186505787,1.840294797,0.133810545,0.819901817,0.302469014,0.254019416,-1.211440386,-1.03997171,-1.162791419,-1.280746993,0.15906921,-0.642093128,2.184387037,0.318252107,-1.906841346,-0.499160582,0.015998375,0.672742797,-0.846704664,0.495812862,-0.618009189,-0.628327402,0.079812473
tetrabamate,7.437040588,-4.194037869,-5.690013947,-9.660937062,-9.691950064,-0.535304223,-0.725260621,-3.263598657,0.841693299,0.826919469,1.889257664,-1.392516291,-0.824855262,-1.364418209,-0.926093358,1.279726798,0.549131629,-2.756367517,-2.48289825,0.733418003,-0.077975991,0.699875324,0.242073781,1.747800175,-2.761212547,-0.925086958,-2.90990484,0.383002817,0.081389794,0.494964724,0.481621698,1.4739162,0.487057907,0.02423149,0.390411301,0.675150338,0.289296767,-0.203825732,-0.641751667,-0.248337673,-0.97921483,0.242379901,0.880469344,-1.082583686,0.910014553,-0.372708881,0.430816445,-1.147241964,-0.002442479,-0.208934651
troglitazone,-6.750480929,7.506202243,2.519514645,2.752753262,-5.470123842,-6.331996888,0.098536758,-2.436444029,0.217197989,-1.881670229,1.516919714,-0.93021621,-2.980964166,0.132347893,-1.292554572,1.961175848,2.380469748,-1.756490086,-2.629142392,-0.25985783,0.427870209,2.314114653,-4.985503564,-2.741238081,1.433682641,-1.849254307,-0.442034522,-0.313222713,0.121227319,-1.498968498,-0.809776409,-0.836637194,1.253101845,1.94330455,0.299387878,1.666366813,-0.924840571,-0.563847022,-0.207425977,-0.065092541,2.630592646,0.625178739,-0.978142648,2.374984067,-0.794203291,0.760593705,-0.446352599,-0.695666324,0.923378558,2.449450759
trovafloxacin,-4.079276212,8.339807064,2.064513576,7.463307655,-6.537598917,5.247662396,-0.614830069,2.419334956,1.020473747,-1.621613538,-3.394290204,-3.735300134,-0.158998682,-2.732618108,0.094091217,-0.799380218,-3.328502746,0.739606798,1.303423157,-2.376395153,-5.659382761,3.228807948,2.209629178,-0.364641622,-1.672381513,3.700462732,-0.991314681,-3.554042932,-1.231088651,-1.864093969,-0.204035233,-2.007476049,2.102200248,-0.624018236,0.628467456,-0.6627265,-0.639415094,-1.243756688,-0.689409229,-0.729311457,-2.925317125,0.608084279,0.282659856,-0.120871303,2.298107524,-0.651399798,-0.688002677,0.544301547,0.55931622,-1.12588142
alaproclate,-10.82447992,-5.225561597,9.681640759,0.469655161,6.052865481,-3.635091652,-1.331050412,-1.696760292,1.263656702,-4.207282299,-1.935656841,3.781193524,3.749014055,2.408945787,4.100930789,1.720853923,-0.908981174,-0.133968628,-5.578265484,2.45527842,-0.925878652,2.268015236,0.267750766,0.622238353,1.301606167,-1.035156635,-1.416667474,-0.030791346,-0.042729474,0.006634323,-0.425594359,-3.069965291,0.741047664,-0.900809026,1.999941261,2.542671943,1.1818031,1.627951856,2.399860415,1.786091629,-0.127895285,-0.115094476,-1.225730443,0.797118594,-0.238336404,1.556381401,-1.201908476,-0.282457681,0.888230349,1.12635247
alatrofloxacin mesylate,-4.3640841,8.414414615,5.647530068,0.861439051,-8.303736436,4.581636088,0.105365798,-0.489754157,2.687087594,-0.0744886,-3.095284459,-3.064870181,1.057466497,0.770785061,-1.540524181,-0.621777869,-4.387283176,1.346541718,1.509406014,-2.859696409,-4.665027652,1.859648235,2.363818297,0.139425485,-1.100936584,3.425464257,-1.095739266,-3.300100377,-1.917587064,-1.63811503,0.433769399,-2.750903882,1.626846204,-0.718852437,0.40391933,-0.711408178,-0.827530282,-0.305004525,-0.536724075,-0.931499994,-2.250360402,0.585918481,0.275108786,-0.37329292,1.805763419,-0.224379673,-0.404937452,-0.186112923,0.536457063,-1.110503137
alclofenac,-5.15925935,-3.586838221,9.486418951,4.278534287,3.096282292,-0.988149237,-1.830656085,3.244703204,1.87987319,-3.853899792,-3.359680488,1.418812848,-1.457820375,-2.26996064,2.330118689,-1.908862554,2.36117855,0.53944095,-4.107374248,0.709635742,-0.399465294,-1.149289162,1.22470297,-1.111024656,-1.404350608,-2.027583052,1.957772754,0.516103927,3.076296071,-1.656422964,-0.222229213,-2.54487723,-1.26146248,1.607617373,1.697792783,-0.780666551,-0.214134528,-1.20170644,1.73300613,-0.842551405,-0.953353206,-0.196888928,-0.35231699,1.289063936,-1.140572367,-0.590426489,0.136362013,0.437994198,-0.490288418,-1.299018143
alpidem,-12.46552799,-4.10341736,2.186376336,0.925551318,-4.685072885,-4.418872657,-4.743606133,4.056309296,-2.338488008,-1.471890433,2.744464556,1.632914343,-0.9888631,1.699063692,4.697145842,-1.767357463,-2.714568909,0.550291393,-1.754759408,0.336952525,0.61702259,1.305426509,-0.349852518,0.057886216,0.082226593,-0.307117001,-1.133319375,-0.976763063,-0.207113143,0.376649064,0.795804998,0.93564827,-1.301394239,-1.318722528,2.144428901,0.13766298,-0.875957068,0.404981047,1.438842291,1.551384274,-0.26009761,-0.597036735,0.511715509,-1.637102966,0.559407183,-0.44120569,-0.428039062,0.489544094,0.283157668,-0.794328235
bendazac,-22.51098725,-5.45644648,-2.512893263,-4.71764196,1.211221752,3.400302268,2.156174885,3.676161301,-2.194453147,0.330759174,1.467699046,-2.040786893,2.228816422,-3.824253126,0.387569578,-0.54388186,1.939048296,-0.768491106,-0.167751921,-0.209507458,-0.661909513,-0.744878659,0.110153232,-0.833263126,-1.526305848,-0.847790992,2.015883288,0.457623241,1.35042802,-1.297796945,-0.36417904,-1.669333112,-0.316146951,0.598647086,1.99413142,-0.690994949,-0.247536267,-0.431575854,0.981390435,-0.529329638,-0.747055676,-0.579894784,-0.782533396,0.65235617,0.412641106,-0.514343822,-0.220272618,-0.228490232,-0.496269125,0.071296468
benoxaprofen,-17.14014082,-3.92797468,3.243141634,5.135799802,-2.972311998,0.642221001,-0.763412298,2.820564227,0.301059732,-7.924468996,-0.426218567,-1.340005677,2.995571018,2.281357766,3.378749068,-0.916747138,-3.2932795,0.916632959,-4.006632317,-0.339834264,-0.324506442,-0.132182662,-0.521870444,0.058441246,0.497548071,1.538673225,0.46167878,-0.499339784,0.863798356,0.282337563,1.579062982,0.945786542,-1.081010013,-0.456505512,0.913167869,0.416503995,-2.353654331,2.103189329,1.021783503,2.090959909,-0.085480256,-0.164083019,0.432407021,-0.606601282,-0.197312977,0.888758906,-0.748870879,0.771542469,0.506277102,-0.616109379
