DILIrank_ID,Human Intestinal Absorption,Blood Brain Barrier,Caco-2 permeable,P-glycoprotein substrate,P-glycoprotein inhibitor I,P-glycoprotein inhibitor II,Renal organic cation transporter,CYP450 2C9 substrate,CYP450 2D6 substrate,CYP450 3A4 substrate,CYP450 1A2 substrate,CYP450 2C9 inhibitor,CYP450 2D6 inhibitor,CYP450 2C19 inhibitor,CYP450 3A4 inhibitor,CYP450 inhibitory promiscuity,hERG inhibition (predictor I),hERG inhibition (predictor II),Ames test,Carcinogenicity,Biodegradation,Rat acute toxicity(LD50-mol/kg)
amineptine,0.66974966,0.908618626,-0.926834611,-1.273060698,-1.110348599,-0.838548786,-0.615217581,-0.524285988,-0.66195795,-1.144806128,-0.436617025,-0.768487463,-0.611653836,-0.784337357,-0.538583402,-0.320102133,-0.040059917,1.388717674,2.166555481,-0.696797355,-0.108739464,0.950525178
chlormezanone,0.652174138,0.90847614,-0.934952172,-1.428126248,-0.728205106,-1.066405171,-0.644612094,-0.120558566,-0.715797727,1.139162515,-0.991380295,-0.820099005,-0.87140992,-0.884343981,-0.946710849,1.276680795,-0.004469954,-0.733322254,-0.399554318,-0.457796861,0.068795631,0.683243899
droxicam,-0.91204726,-0.428475386,-0.007727858,-0.322282375,0.350539442,0.53051372,0.62395593,1.461254403,0.586635433,-0.068440501,0.39821643,0.85792356,0.592453578,0.674481192,0.715406792,-0.662870971,-0.643409914,0.409089238,0.830285418,1.312525556,1.533749506,-1.455495265
nimesulide,0.7861235,0.475031981,-0.918882714,-1.762649682,-0.532197926,-0.772965913,-0.959629196,-0.176507779,-0.727544588,0.891107422,1.797338307,2.51319265,-0.87140992,-0.643049934,-0.757716992,2.685155911,2.809010314,-0.49826352,2.104307485,-0.10800605,-0.758004059,1.056948761
troglitazone,0.569074343,0.737492251,-1.153298009,0.986889023,-0.880028412,-0.594336769,-0.900663094,-0.726543707,2.04177778,1.283724424,-0.481477417,-0.407946621,-0.876960263,-0.423864434,-0.262716197,-0.471346779,-0.003242713,-0.672278608,-0.316491535,-0.826865651,-0.753374721,0.155363372
trovafloxacin,0.789024314,0.726948244,1.461219435,0.715785657,-1.139961194,-0.803432284,-0.759534016,-0.832137997,-0.757238041,-1.350149749,-0.756324132,-0.604958421,-0.730114028,-0.529052747,-0.835193836,-0.379717357,-0.028885573,-0.748623861,2.209166885,-0.749985998,-0.78091928,0.491828129
alaproclate,-0.91204726,-0.428475386,-0.007727858,-0.322282375,0.350539442,0.53051372,0.62395593,1.461254403,0.586635433,-0.068440501,0.39821643,0.85792356,0.592453578,0.674481192,0.715406792,-0.662870971,-0.643409914,0.409089238,0.830285418,1.312525556,1.533749506,-1.455495265
alclofenac,-0.91204726,-0.428475386,-0.007727858,-0.322282375,0.350539442,0.53051372,0.62395593,1.461254403,0.586635433,-0.068440501,0.39821643,0.85792356,0.592453578,0.674481192,0.715406792,-0.662870971,-0.643409914,0.409089238,0.830285418,1.312525556,1.533749506,-1.455495265
bendazac,-0.91204726,-0.428475386,-0.007727858,-0.322282375,0.350539442,0.53051372,0.62395593,1.461254403,0.586635433,-0.068440501,0.39821643,0.85792356,0.592453578,0.674481192,0.715406792,-0.662870971,-0.643409914,0.409089238,0.830285418,1.312525556,1.533749506,-1.455495265
benoxaprofen,0.794314034,0.967750554,-0.888897436,-1.718743481,-1.152652307,-0.865006424,-1.005137568,-0.435765402,-0.630143536,-0.99239553,1.389446731,-0.654905074,-0.940868506,-0.482935703,-1.000430491,-0.387309509,-0.00065905,-1.056446621,-0.977459211,-0.631066413,-0.707775746,1.25830609
benzbromarone,-0.91204726,-0.428475386,-0.007727858,-0.322282375,0.350539442,0.53051372,0.62395593,1.461254403,0.586635433,-0.068440501,0.39821643,0.85792356,0.592453578,0.674481192,0.715406792,-0.662870971,-0.643409914,0.409089238,0.830285418,1.312525556,1.533749506,-1.455495265
benziodarone,-0.91204726,-0.428475386,-0.007727858,-0.322282375,0.350539442,0.53051372,0.62395593,1.461254403,0.586635433,-0.068440501,0.39821643,0.85792356,0.592453578,0.674481192,0.715406792,-0.662870971,-0.643409914,0.409089238,0.830285418,1.312525556,1.533749506,-1.455495265
bromfenac,0.64637251,0.768839297,0.986093594,-1.681806519,-0.688251604,-0.909904234,-1.006908322,-0.804032054,-0.878459115,-1.434295001,-0.727287783,-0.347270687,-0.835253395,-0.826136326,-0.867283787,-0.363822457,-0.013835733,-0.944126312,-0.897734649,-0.383239855,-0.692498932,0.62766895
cinchophen,-0.91204726,-0.428475386,-0.007727858,-0.322282375,0.350539442,0.53051372,0.62395593,1.461254403,0.586635433,-0.068440501,0.39821643,0.85792356,0.592453578,0.674481192,0.715406792,-0.662870971,-0.643409914,0.409089238,0.830285418,1.312525556,1.533749506,-1.455495265
cyclofenil,-0.91204726,-0.428475386,-0.007727858,-0.322282375,0.350539442,0.53051372,0.62395593,1.461254403,0.586635433,-0.068440501,0.39821643,0.85792356,0.592453578,0.674481192,0.715406792,-0.662870971,-0.643409914,0.409089238,0.830285418,1.312525556,1.533749506,-1.455495265
fipexide,-0.91204726,-0.428475386,-0.007727858,-0.322282375,0.350539442,0.53051372,0.62395593,1.461254403,0.586635433,-0.068440501,0.39821643,0.85792356,0.592453578,0.674481192,0.715406792,-0.662870971,-0.643409914,0.409089238,0.830285418,1.312525556,1.533749506,-1.455495265
iproniazid,0.782198869,0.967750554,1.095100848,-1.626226844,-1.089510106,-1.06207574,-0.999117005,-0.799829296,-0.837671405,-1.18916035,-0.991533926,-0.865420968,-0.917557063,-0.930633748,-0.554894317,-0.318007746,-0.00595556,-1.125954987,-0.279771109,-0.332141596,-0.756152324,0.71209072
lumiracoxib,0.764452712,0.955781682,1.34740791,-1.600440663,-0.767218525,-0.975006058,-0.998054553,-0.442332211,-0.822824678,-1.157035481,1.198329171,2.123978729,-0.702045147,-0.806791349,-0.714103025,-0.430169638,-0.029014756,-0.757902495,-0.829595676,-0.156781661,-0.770271804,1.409629668
mebanazine,-0.91204726,-0.428475386,-0.007727858,-0.322282375,0.350539442,0.53051372,0.62395593,1.461254403,0.586635433,-0.068440501,0.39821643,0.85792356,0.592453578,0.674481192,0.715406792,-0.662870971,-0.643409914,0.409089238,0.830285418,1.312525556,1.533749506,-1.455495265
moxisylyte,-0.91204726,-0.428475386,-0.007727858,-0.322282375,0.350539442,0.53051372,0.62395593,1.461254403,0.586635433,-0.068440501,0.39821643,0.85792356,0.592453578,0.674481192,0.715406792,-0.662870971,-0.643409914,0.409089238,0.830285418,1.312525556,1.533749506,-1.455495265
nialamide,0.76496462,0.908333653,-0.933129863,-1.348502702,1.214475163,-0.78547316,-0.556428555,-0.815589638,-0.690183045,-1.242823483,1.797184675,2.489144261,1.88647656,2.227779229,-0.757716992,-0.388581101,-0.130294362,1.320511573,2.618589821,-0.398801598,-0.732542702,0.398850099
niperotidine,-0.91204726,-0.428475386,-0.007727858,-0.322282375,0.350539442,0.53051372,0.62395593,1.461254403,0.586635433,-0.068440501,0.39821643,0.85792356,0.592453578,0.674481192,0.715406792,-0.662870971,-0.643409914,0.409089238,0.830285418,1.312525556,1.533749506,-1.455495265
nomifensine,0.794314034,0.973165044,1.186050669,0.690696399,-1.032478441,-0.503418704,-0.333313576,-0.801405331,-0.302536648,-1.097348936,1.797184675,-0.881699878,2.008901283,-0.884516704,-0.757716992,1.810001431,-0.027593741,1.636310703,-0.963124499,-0.820362236,-0.709627481,0.974564196
