DILIrank_ID, logP, logS, PhysiologicalCharge, HydrogenAcceptor, HydrogenDonor, PolarSurfaceArea(A2), RotatableBondCount, Polarizability(A3), NumberofRings, Refractivity(m3.mol-1),Bioavailability, Rule of Five, Ghose Filter, Veber's Rule, MDDR-like Rule, Water Solubility(mg/mL), pKa(StrongestAcidic), pKa(StrongestBasic)
amineptine,0.102076636,-1.629346186,-0.172271491,-0.246264513,-0.006376289,-0.250051466,0.309205149,0.179159123,0.356439996,0.16976202,0.591290166,0.719701606,0.980687837,-0.467990684,2.031888636,-0.147609491,-0.527960625,1.051228771
chlormezanone,-0.447402981,0.382423532,-0.172271491,-0.246264513,-0.488289538,-0.210125496,-0.473304961,-0.242538003,-0.19512017,-0.2799412,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.117410192,2.053373127,-1.119517541
droxicam,-0.012597371,-0.570520019,-0.172271491,0.130344476,-0.488289538,0.120745391,-0.473304961,0.002052437,0.908000162,0.008596704,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.147016741,-1.142480051,-0.483360524
nimesulide,0.374427403,-0.676402635,-1.257279651,-0.057960018,-0.247332914,0.154588889,-0.137943485,-0.151541809,-0.19512017,-0.138457363,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.147273765,-0.096564466,-2.309986812
troglitazone,1.138920784,-1.417580953,-1.257279651,0.130344476,-0.006376289,0.027012936,-0.026156327,0.404512112,0.908000162,0.414604566,0.591290166,-1.389464733,0.980687837,-0.467990684,-0.492152957,-0.147592512,-0.140584482,-1.51014027
trovafloxacin,-0.437846814,-0.464637402,-0.172271491,0.506953465,-0.006376289,0.143203749,-0.249730644,0.130912819,1.459560327,0.167657711,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.146294447,-0.35188056,1.101451693
alaproclate,0.498657577,-0.464637402,0.91273667,-0.434569007,-0.247332914,-0.226735323,-0.026156327,-0.208948804,-0.746680336,-0.235131796,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.146907928,-0.012046035,0.710828963
alclofenac,0.589441166,0.011834373,-1.257279651,-0.246264513,-0.247332914,-0.271885982,-0.026156327,-0.352771647,-0.746680336,-0.367579482,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.142212079,-0.65121667,-1.565943518
bendazac,0.532104163,-0.252872169,-1.257279651,-0.057960018,-0.247332914,-0.132924888,-0.026156327,-0.148488246,0.356439996,0.015652329,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.145682842,-0.660020673,-0.589386694
benoxaprofen,1.167589286,-0.570520019,-1.257279651,-0.246264513,-0.247332914,-0.14087889,-0.249730644,-0.07611879,0.356439996,0.012557756,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.147020493,-0.483940608,-0.637563497
benzbromarone,1.788740157,-0.835226561,-1.257279651,-0.434569007,-0.247332914,-0.241395641,-0.249730644,0.055489799,0.356439996,0.06033795,0.591290166,-1.389464733,0.980687837,-0.467990684,-0.492152957,-0.147369445,-0.404704579,-1.361331612
benziodarone,1.922526499,-0.888167869,-1.257279651,-0.434569007,-0.247332914,-0.241395641,-0.249730644,0.183434111,0.356439996,0.202440702,-1.691217033,-1.389464733,-1.019692467,-0.467990684,-0.492152957,-0.147354437,-0.316664547,-1.212522953
bromfenac,0.584663083,-0.782285252,-1.257279651,-0.057960018,-0.006376289,-0.007844308,-0.137943485,-0.119174036,-0.19512017,-0.089563123,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.147378826,-0.633608664,-0.358733272
cinchophen,0.780564512,-0.464637402,-1.257279651,-0.246264513,-0.247332914,-0.243345151,-0.361517803,-0.221163058,0.356439996,-0.191807786,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.146949202,-0.675867879,-0.420116844
cyclofenil,1.903414164,-1.470522261,-0.172271491,-0.434569007,-0.488289538,-0.224551872,0.085630832,0.221298299,0.356439996,0.322138751,0.591290166,0.719701606,0.980687837,-0.467990684,2.031888636,-0.147600354,-2.501818152,-1.919364082
fipexide,0.560772665,-0.252872169,-0.172271491,0.130344476,-0.488289538,-0.235157208,-0.026156327,0.203282275,0.908000162,0.172856592,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.144482146,1.611412164,0.478315434
iproniazid,-0.839205839,0.276540915,-0.172271491,-0.246264513,-0.006376289,-0.213478653,-0.249730644,-0.44712676,-0.746680336,-0.328464091,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.134970378,1.100779976,0.056070864
lumiracoxib,1.330044129,-0.941109177,-1.257279651,-0.246264513,-0.006376289,-0.250051466,-0.137943485,-0.161923925,-0.19512017,-0.143408678,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.147512216,-0.580784644,-1.007911047
mebanazine,-0.256279636,0.964777924,-0.172271491,-0.434569007,-0.006376289,-0.338013371,-0.361517803,-0.55522291,-0.746680336,-0.415483459,0.591290166,0.719701606,-1.019692467,2.136794673,-0.492152957,0.051250141,-0.365966965,0.336947208
moxisylyte,0.689780923,0.064775682,0.91273667,-0.246264513,-0.488289538,-0.332398781,0.19741799,-0.044056373,-0.746680336,-0.081641019,0.591290166,0.719701606,0.980687837,2.136794673,-0.492152957,-0.139998295,0.24327006,0.980544658
nialamide,-0.53818657,-0.305813477,-0.172271491,-0.057960018,0.234580335,0.013444344,0.19741799,-0.053827776,-0.19512017,0.079400514,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.145977388,1.099019175,-0.020193573
niperotidine,-0.165496047,-0.570520019,0.91273667,0.506953465,-0.006376289,0.160983283,0.756353783,0.39962641,0.356439996,0.458423707,0.591290166,0.719701606,0.980687837,-0.467990684,2.031888636,-0.14679161,0.068950795,0.796393942
nomifensine,0.555994581,0.011834373,0.91273667,-0.434569007,-0.247332914,-0.406558152,-0.473304961,-0.191543492,0.356439996,-0.127688252,0.591290166,0.719701606,0.980687837,2.136794673,-0.492152957,-0.141649252,0.259117265,0.997285632
oxyphenisatin,0.957353606,-0.782285252,-0.172271491,-0.246264513,0.234580335,-0.092297094,-0.361517803,-0.02329214,0.908000162,0.076677291,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.147380702,0.311941285,-1.770555424
pemoline,-0.600301657,0.329482223,-0.172271491,-0.057960018,-0.247332914,-0.130351535,-0.473304961,-0.512778376,-0.19512017,-0.517356773,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.129248309,1.327923259,-0.470339766
perhexiline,1.955973084,-2.15875927,0.91273667,-0.622873502,-0.247332914,-0.540918402,-0.137943485,0.072895111,0.356439996,-0.003286453,0.591290166,-1.389464733,0.980687837,2.136794673,-0.492152957,-0.147614703,0.558453376,1.313504032
phenoxypropazine,-0.194164549,0.805953999,-0.172271491,-0.246264513,-0.006376289,-0.266037451,-0.137943485,-0.463005291,-0.746680336,-0.341956425,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.034487092,-0.344837357,0.359268507
pirprofen,0.971687857,0.329482223,-1.257279651,-0.246264513,-0.247332914,-0.318596248,-0.249730644,-0.239789796,-0.19512017,-0.222505942,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.124914545,-0.556133435,-0.87770347
sulfathiazole,-0.428290647,0.276540915,-1.257279651,-0.057960018,-0.006376289,0.028728505,-0.361517803,-0.301471779,-0.19512017,-0.312248533,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.13033644,-0.084238861,-0.275028402
tilbroquinol,0.637222003,0.011834373,-0.172271491,-0.434569007,-0.247332914,-0.376457714,-0.58509212,-0.410178641,-0.19512017,-0.40694244,0.591290166,0.719701606,0.980687837,2.136794673,-0.492152957,-0.142005709,0.075993998,0.175117791
tolrestat,0.704115173,-0.941109177,-1.257279651,-0.246264513,-0.247332914,-0.246620328,-0.026156327,-0.053522419,-0.19512017,0.004883218,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.14747263,-0.608957455,-1.212522953
ximelagatran,-0.203720716,-0.464637402,-0.172271491,0.506953465,0.475536959,0.506514487,0.644566625,0.559327784,0.356439996,0.483675415,0.591290166,0.719701606,0.980687837,-0.467990684,2.031888636,-0.146029918,0.392938115,0.364848832
zimelidine,0.771008344,-0.623461327,0.91273667,-0.434569007,-0.488289538,-0.508946433,-0.137943485,-0.088333044,-0.19512017,0.079771863,0.591290166,0.719701606,0.980687837,2.136794673,-0.492152957,-0.147166828,0.213336449,0.948922818
fialuridine,-0.815315421,0.911836615,-0.172271491,0.130344476,0.234580335,0.138057042,-0.361517803,-0.226964829,-0.19512017,-0.28811087,0.591290166,0.719701606,-1.019692467,-0.467990684,-0.492152957,0.285761171,0.192206841,-1.212522953
tasosartan,0.618109668,-0.623461327,-0.172271491,0.31864897,-0.247332914,0.149364202,-0.137943485,0.320844471,1.459560327,0.533683701,0.591290166,0.719701606,-1.019692467,-0.467990684,-0.492152957,-0.147005484,-0.001481231,-0.135520284
acitretin,1.635841481,-1.523463569,-1.257279651,-0.246264513,-0.247332914,-0.271885982,0.085630832,0.143737785,-0.746680336,0.206401754,0.591290166,-1.389464733,0.980687837,-0.467990684,-0.492152957,-0.147606245,-0.422312586,-1.547342435
amiodarone,2.610570542,-1.152874411,0.91273667,-0.246264513,-0.488289538,-0.30190844,0.644566625,0.700707776,0.356439996,0.712426186,-1.691217033,-1.389464733,-1.019692467,-0.467990684,2.031888636,-0.147525911,0.186924439,0.921021194
bosentan,1.148476951,-0.994050486,-1.257279651,0.883562454,-0.006376289,0.501055858,0.532779466,0.734602331,0.908000162,0.979921,0.591290166,-1.389464733,-1.019692467,-0.467990684,2.031888636,-0.147445615,-0.283209334,-0.734475136
cytarabine,-1.899940404,1.155366634,-0.172271491,0.506953465,0.475536959,0.368177236,-0.361517803,-0.354909141,-0.19512017,-0.407932703,0.591290166,0.719701606,-1.019692467,-0.467990684,-0.492152957,0.674111437,0.905331104,-0.756796435
danazol,0.880904268,-0.729343944,-0.172271491,-0.434569007,-0.247332914,-0.273991453,-0.58509212,0.144348498,1.459560327,0.13671199,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.147285021,1.792774631,-0.607987776
dantrolene,-0.060378207,-0.358754785,-0.172271491,0.130344476,-0.247332914,0.285829922,-0.137943485,-0.116425828,0.356439996,-0.119147233,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.146104962,0.144665223,-0.896304553
deferasirox,1.067249529,-0.570520019,-1.257279651,0.31864897,0.234580335,0.211124688,-0.137943485,0.143127073,0.908000162,0.468202555,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.146971715,-0.503309416,-0.619148425
felbamate,-0.581189323,0.223599607,-0.172271491,-0.434569007,-0.006376289,0.18125819,0.19741799,-0.314907459,-0.746680336,-0.345422346,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.133694638,1.333205661,2.131951656
flutamide,0.369649319,-0.941109177,-0.172271491,-0.246264513,-0.247332914,-0.050499593,-0.137943485,-0.324678862,-0.746680336,-0.298013501,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.147509026,1.014500744,-1.342730529
isoniazid,-1.188005944,1.234778596,-0.172271491,-0.246264513,-0.006376289,-0.104384058,-0.473304961,-0.62972986,-0.746680336,-0.61935387,0.591290166,0.719701606,-1.019692467,-0.467990684,-0.492152957,0.507139583,1.091975972,-0.031354223
ketoconazole,1.205813955,-0.994050486,-0.172271491,0.31864897,-0.488289538,-0.096196114,0.19741799,0.641163287,1.459560327,0.626025733,0.591290166,-1.389464733,-1.019692467,-0.467990684,2.031888636,-0.147440549,-0.115933273,0.601082578
lapatinib,1.626285314,-0.782285252,0.91273667,0.506953465,-0.006376289,0.19459284,0.644566625,0.835369928,1.459560327,0.803654172,-1.691217033,-1.389464733,-1.019692467,-0.467990684,2.031888636,-0.147196845,1.511046527,0.684787448
leflunomide,0.355315069,-0.305813477,-0.172271491,-0.434569007,-0.247332914,-0.204822828,-0.249730644,-0.327427069,-0.19512017,-0.288853568,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.146031794,0.528519765,-0.738195352
methotrexate,-1.283567616,-0.252872169,-2.342287812,1.448475937,0.716493583,1.007070748,0.420992308,0.326951598,0.356439996,0.392571212,-1.691217033,-1.389464733,0.980687837,-0.467990684,2.031888636,-0.144407102,-0.70404069,-0.131800068
mexiletine,0.188082142,0.223599607,0.91273667,-0.434569007,-0.247332914,-0.359847886,-0.249730644,-0.386666202,-0.746680336,-0.402610039,0.591290166,0.719701606,0.980687837,2.136794673,-0.492152957,-0.137521858,0.371808507,1.116332559
nefazodone,0.92390702,-0.464637402,0.91273667,0.130344476,-0.488289538,-0.232193952,0.532779466,0.550167093,0.908000162,0.555593271,0.591290166,0.719701606,-1.019692467,-0.467990684,2.031888636,-0.146305703,-0.056066051,0.664326258
nevirapine,-0.012597371,-0.252872169,-0.172271491,-0.057960018,-0.247332914,-0.181506685,-0.473304961,-0.184214939,0.908000162,-0.123974765,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.14564532,0.521476562,0.286724286
oxandrolone,0.756674093,-0.729343944,-0.172271491,-0.434569007,-0.247332914,-0.271885982,-0.58509212,0.04449697,0.908000162,-0.033984608,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.147352561,-1.397796145,-0.753076218
oxymetholone,0.665890504,-0.570520019,-0.172271491,-0.246264513,-0.006376289,-0.186107529,-0.58509212,0.152898476,0.908000162,0.087941533,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.146960458,0.257356465,-0.753076218
pazopanib,0.866570017,-0.570520019,-0.172271491,0.506953465,-0.006376289,0.293472002,-0.026156327,0.353517601,0.908000162,0.553117614,0.591290166,0.719701606,-1.019692467,-0.467990684,-0.492152957,-0.146802867,0.528519765,0.288584394
pentostatin,-1.804378732,0.805953999,0.91273667,0.506953465,0.475536959,0.239665518,-0.361517803,-0.228796967,0.356439996,-0.278703371,0.591290166,0.719701606,-1.019692467,-0.467990684,-0.492152957,0.053126229,0.995131937,0.894979679
propylthiouracil,-0.117715211,0.170658298,-0.172271491,-0.622873502,-0.006376289,-0.313995404,-0.361517803,-0.48987665,-0.746680336,-0.47774625,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.138872642,0.120014014,-1.156719706
stavudine,-1.197562111,1.155366634,-0.172271491,-0.057960018,-0.006376289,-0.019697331,-0.361517803,-0.3817805,-0.19512017,-0.398277638,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,0.612200525,0.447522935,-1.212522953
sunitinib,0.69933709,-0.623461327,0.91273667,-0.246264513,0.234580335,-0.032486118,0.19741799,0.320233758,0.356439996,0.356179044,0.591290166,0.719701606,0.980687837,-0.467990684,2.031888636,-0.147037378,0.713403833,1.027047364
tolcapone,0.407873988,-0.411696094,-1.257279651,0.130344476,-0.006376289,0.171198717,-0.249730644,-0.225743403,-0.19512017,-0.179924629,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.146547719,-0.394139775,-1.844959753
valproic acid,0.364871236,0.594188765,-1.257279651,-0.434569007,-0.247332914,-0.343861901,-0.026156327,-0.513999802,-1.298240502,-0.584818445,0.591290166,0.719701606,-1.019692467,2.136794673,-0.492152957,-0.10333953,-0.399422177,0.301605151
zidovudine,-0.896542842,0.911836615,-0.172271491,0.31864897,-0.006376289,0.209799021,-0.249730644,-0.271852213,-0.19512017,-0.319304157,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,0.15818717,0.449283736,-1.212522953
maraviroc,1.205813955,-0.941109177,0.91273667,-0.057960018,-0.247332914,-0.143062342,0.309205149,0.677500693,1.459560327,0.6855653,0.591290166,-1.389464733,-1.019692467,-0.467990684,2.031888636,-0.147416348,1.157125596,1.140513966
tipranavir,2.156652597,-1.894052728,-1.257279651,0.130344476,-0.006376289,0.188666329,0.644566625,0.825598525,0.908000162,0.830267493,-1.691217033,-1.389464733,-1.019692467,-0.467990684,2.031888636,-0.147611367,-0.262079727,-1.2683262
abacavir,-0.557298905,0.276540915,-0.172271491,0.31864897,0.234580335,0.159735596,-0.137943485,-0.103906218,0.908000162,-0.060350363,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.124914545,1.408920089,0.41879197
acarbose,-2.138844586,1.134190111,0.91273667,2.766607398,2.885103201,1.930904684,0.868140942,0.863462713,0.356439996,0.637785107,-1.691217033,-1.389464733,-1.019692467,-0.467990684,2.031888636,1.878560087,0.778553457,0.653165608
acetaminophen,-0.605079741,0.700071382,-0.172271491,-0.434569007,-0.006376289,-0.250051466,-0.473304961,-0.559192542,-0.746680336,-0.552015981,0.591290166,0.719701606,-1.019692467,-0.467990684,-0.492152957,-0.069757551,0.361243703,-1.472938106
acetazolamide,-1.035107268,0.541247457,-1.257279651,0.130344476,-0.006376289,0.262357818,-0.361517803,-0.448042829,-0.746680336,-0.496808814,0.591290166,0.719701606,-1.019692467,-0.467990684,-0.492152957,-0.095272351,-0.084238861,-1.2683262
albendazole,0.689780923,-0.623461327,-0.172271491,-0.246264513,-0.006376289,-0.112182099,-0.026156327,-0.138411486,-0.19512017,-0.179305715,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.147187465,0.370047706,0.139775735
allopurinol,-1.044663435,1.12889598,-0.172271491,-0.057960018,-0.006376289,-0.052293143,-0.58509212,-0.67583867,-0.19512017,-0.650052025,0.591290166,0.719701606,-1.019692467,-0.467990684,-0.492152957,0.2651242,0.186924439,-0.421976952
atomoxetine,1.038581028,-0.994050486,0.91273667,-0.434569007,-0.247332914,-0.468942482,0.085630832,-0.123449025,-0.19512017,-0.09971332,0.591290166,0.719701606,0.980687837,2.136794673,-0.492152957,-0.147542045,0.421110925,1.16841559
atorvastatin,1.177145453,-1.629346186,-1.257279651,0.130344476,0.475536959,0.237014184,0.756353783,0.780405784,0.908000162,0.87520068,-1.691217033,-1.389464733,-1.019692467,-0.467990684,2.031888636,-0.147603394,-0.54204703,-1.156719706
azathioprine,-0.447402981,0.276540915,-0.172271491,0.31864897,-0.247332914,0.286219824,-0.249730644,-0.292311089,0.356439996,-0.204804989,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.127541069,0.218618851,0.089552813
bexarotene,2.429003364,-1.84111142,-1.257279651,-0.434569007,-0.247332914,-0.343861901,-0.249730644,0.215496529,0.356439996,0.366700589,0.591290166,-1.389464733,-1.019692467,2.136794673,-0.492152957,-0.147612418,-0.587827847,0.10257357
bicalutamide,0.441320574,-0.941109177,-0.172271491,0.130344476,-0.006376289,0.201689058,0.085630832,0.086941504,-0.19512017,0.112574327,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.147441112,0.799683065,-1.398533776
bortezomib,-0.423512563,-0.51757871,-0.172271491,0.31864897,0.475536959,0.335659405,0.420992308,0.202976918,-0.19512017,0.146985969,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.146617134,0.991610335,-0.784698058
busulfan,-1.278789533,0.647130074,-0.172271491,-0.057960018,-0.488289538,0.041673253,0.19741799,-0.311243183,-1.298240502,-0.469452797,0.591290166,0.719701606,-1.019692467,-0.467990684,-0.492152957,-0.05080906,-1.304473711,-0.654490482
carbamazepine,0.154635556,-0.146989552,-0.172271491,-0.622873502,-0.247332914,-0.27344559,-0.58509212,-0.269714718,0.356439996,-0.193169398,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.144763559,1.505764125,-1.361331612
chlorzoxazone,0.149857472,0.594188765,-0.172271491,-0.434569007,-0.247332914,-0.335829919,-0.58509212,-0.576903211,-0.19512017,-0.574668249,0.591290166,0.719701606,-1.019692467,2.136794673,-0.492152957,-0.092083001,0.348918099,-1.063714294
ciprofloxacin,-1.121112773,0.276540915,-0.172271491,0.31864897,-0.006376289,-0.066407597,-0.249730644,-0.021765359,0.908000162,0.005502132,0.591290166,0.719701606,-1.019692467,-0.467990684,-0.492152957,-0.122288022,-0.290252537,0.960083467
clarithromycin,0.670668588,-0.305813477,0.91273667,1.636780431,0.475536959,0.791610871,0.309205149,1.47173257,0.356439996,1.278609101,-1.691217033,-1.389464733,-1.019692467,-0.467990684,2.031888636,-0.143544101,0.889483898,0.90428022
clomipramine,1.559392143,-0.729343944,0.91273667,-0.434569007,-0.488289538,-0.58419753,-0.137943485,0.05793265,0.356439996,0.097967947,0.591290166,0.719701606,0.980687837,2.136794673,-0.492152957,-0.147345056,0.315462886,1.056809095
clozapine,0.904794686,-0.146989552,0.91273667,-0.057960018,-0.247332914,-0.394003306,-0.58509212,0.059154075,0.908000162,0.122105609,0.591290166,0.719701606,0.980687837,2.136794673,-0.492152957,-0.144125689,1.495199321,0.712689072
cyclosporine,-0.848762006,1.547132316,-0.172271491,1.448475937,0.716493583,1.539365038,1.091715259,3.04645529,-0.746680336,2.966388734,-1.691217033,-1.389464733,-1.019692467,-0.467990684,-0.492152957,-0.147615213,0.778553457,-1.100916459
dactinomycin,0.469989076,-0.994050486,-0.172271491,2.201693915,0.716493583,2.137786716,0.309205149,2.912098494,2.562680659,2.954381794,-1.691217033,-1.389464733,-1.019692467,-0.467990684,2.031888636,-0.147239995,0.547888572,-0.678671889
darunavir,-0.007819287,-0.51757871,-0.172271491,0.506953465,0.234580335,0.460272103,0.644566625,0.714754168,0.908000162,0.678881025,-1.691217033,-1.389464733,-1.019692467,-0.467990684,2.031888636,-0.146361986,1.088454371,-0.209924613
diclofenac,1.530723641,-0.994050486,-1.257279651,-0.246264513,-0.006376289,-0.250051466,-0.137943485,-0.180245307,-0.19512017,-0.148978908,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.147531352,-0.600153451,-1.045113211
didanosine,-1.321792285,0.700071382,-1.257279651,0.31864897,-0.006376289,0.057269336,-0.361517803,-0.333839553,0.356439996,-0.357800635,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.024168607,-0.08247806,-0.142960717
diflunisal,0.637222003,-0.358754785,-1.257279651,-0.246264513,-0.006376289,-0.186107529,-0.361517803,-0.35246629,-0.19512017,-0.32970192,0.591290166,0.719701606,0.980687837,-0.467990684,-0.492152957,-0.146281314,-0.830818336,-1.826358671
diltiazem,0.627665835,-0.782285252,0.91273667,-0.057960018,-0.488289538,-0.174020565,0.19741799,0.299774882,0.356439996,0.332660296,0.591290166,0.719701606,0.980687837,-0.467990684,2.031888636,-0.14730003,0.959915924,0.867078055
disulfiram,1.005134442,-0.782285252,-0.172271491,-0.811177996,-0.488289538,-0.58419753,0.19741799,-0.068179524,-1.298240502,0.009215619,0.591290166,0.719701606,0.980687837,2.136794673,-0.492152957,-0.147378826,-1.304473711,-0.654490482
dronedarone,2.237880018,-1.311698336,0.91273667,0.130344476,-0.247332914,0.05812712,1.315289576,0.983773116,0.356439996,0.8743342,-1.691217033,-1.389464733,-1.019692467,-0.467990684,2.031888636,-0.147577504,0.294333278,1.166555481
