DILIrank_ID,Compound_SMILES,DILI_Concern,Simplified_DILI_Concern,DILI-c_MLP_Predicted_Simplified_DILI_Concern,DILI_Severity,Simplified_DILI_Severity,DILI-s_MLP_Predicted_Simplified_DILI_Severity
amineptine,C1CC2=CC=CC=C2C(C3=CC=CC=C31)[NH2+]CCCCCCC(=O)O.[Cl-],vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
chlormezanone,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
droxicam,CN1C2=C(C3=CC=CC=C3S1(=O)=O)OC(=O)N(C2=O)C4=CC=CC=N4,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
ebrotidine,C1=CC(=CC=C1S(=O)(=O)NC=NCCSCC2=CSC(=N2)N=C(N)N)Br,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
nimesulide,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
tetrabamate,CCCCOCC(CN1C(=O)C(C(=O)NC1=O)(CC)C2=CC=CC=C2)OC(=O)N.CCCCOCC(CN1C(=O)C(C(=O)N(C1=O)CC(COCCCC)OC(=O)N)(CC)C2=CC=CC=C2)OC(=O)N.CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,vMost-DILI-Concern,High-DILI-Concern,Low-DILI-Concern,8,Moderate-High-DILI-Severity,Low-DILI-Severity
troglitazone,CC1=C(C(=C2CCC(OC2=C1C)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C)O,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
trovafloxacin,C1[C@@H]2[C@@H](C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
alaproclate,CC(C(=O)OC(C)(C)CC1=CC=C(C=C1)Cl)N,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
alatrofloxacin mesylate,C[C@@H](C(=O)N[C@@H](C)C(=O)NC1[C@H]2[C@@H]1CN(C2)C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F)N,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
alclofenac,C=CCOC1=C(C=C(C=C1)CC(=O)O)Cl,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
alpidem,CCCN(CCC)C(=O)CC1=C(N=C2N1C=C(C=C2)Cl)C3=CC=C(C=C3)Cl,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
bendazac,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=N2)OCC(=O)O,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
benoxaprofen,CC(C1=CC2=C(C=C1)OC(=N2)C3=CC=C(C=C3)Cl)C(=O)O,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
